F1,F3,F4,F5,F8,F9,F10,F11,F12,F13,EXPOSURE,CLAIMNO
P,14,8,2,M2,S5,M3,L2,B,0,2.00,0
F,4,6,2,M1,S2,M1,L2,D,1,3.00,0
F,10,10,2,M2,S1,M2,L3,D,1,1.00,0
F,1,4,2,H1,S1,M3,L4,D,0,1.00,0
F,4,0,2,M1,S3,M1,L2,B,2,4.00,0
P,6,10,2,M1,S1,M1,L2,D,0,1.00,0
P,13,6,2,M2,S0,M1,L2,D,0,0.80,0
F,10,4,2,C,S2,M1,L2,B,0,4.00,0
F,11,6,2,H1,S0,M2,L2,D,0,3.84,0
F,7,4,2,H1,S0,M2,L3,D,0,0.45,0
F,12,14,3,M2,S0,M1,L2,D,0,1.15,0
F,14,6,2,H2,S3,M3,L2,D,2,1.00,0
F,13,0,2,M2,S2,M1,L2,D,0,3.00,1
F,6,2,2,M1,S2,M1,L4,B,0,1.00,0
F,5,6,2,H1,S1,M2,L2,D,2,1.00,0
P,10,0,2,M2,S5,M2,L1,D,1,1.78,0
P,5,6,2,H2,S1,M3,L3,D,0,0.29,0
F,14,4,2,H1,S0,M2,L2,D,0,3.00,0
F,1,0,2,M2,S3,M1,L3,D,2,1.89,0
P,13,2,2,M1,S2,M1,L2,D,0,1.00,0
F,11,2,2,M1,S3,M1,L1,D,0,1.00,0
F,10,2,2,C,S1,M0,L2,B,0,0.39,0
F,14,4,2,M2,S0,M3,L2,D,0,0.20,0
F,10,6,2,M1,S3,M1,L1,D,0,3.00,0
F,12,4,2,M1,S3,M2,L2,B,0,1.00,0
P,6,2,2,M1,S5,M1,L2,B,0,2.00,0
F,11,4,2,M2,S1,M1,L2,B,0,1.00,0
P,14,0,2,H2,S5,M3,L2,B,1,1.55,0
F,8,0,2,H1,S2,M3,L1,E,3,1.00,0
F,2,10,1,M1,S2,M0,L2,B,0,2.00,0
F,9,20,2,H2,S1,M3,L1,B,0,2.00,0
F,2,2,2,H2,S3,M2,L2,D,1,0.20,0
F,12,2,2,M2,S5,M2,L2,D,2,1.00,0
F,1,0,3,H1,S1,M2,L3,D,5,0.48,0
F,11,6,2,H2,S3,M3,L1,D,0,1.00,0
F,3,8,2,M1,S3,M1,L3,B,0,1.00,0
F,14,4,2,M1,S1,M2,L3,D,0,1.83,0
F,1,6,1,H1,S2,M3,L2,B,0,1.00,0
F,3,0,2,M2,S1,M1,L1,E,0,2.00,0
F,6,8,2,C,S3,M2,L2,D,0,1.00,0
F,14,8,2,C,S1,M2,L3,D,0,0.16,0
P,3,0,2,H1,S5,M3,L1,D,3,1.00,0
F,5,6,2,M1,S1,M1,L2,B,1,1.36,0
P,3,4,2,H2,S1,M2,L2,D,1,0.89,0
F,3,4,2,M2,S5,M2,L2,D,0,3.00,0
F,9,2,2,M2,S1,M3,L2,D,1,1.00,0
F,1,8,1,H2,S2,M0,L2,E,0,1.00,0
F,1,20,2,H1,S3,M2,L2,B,0,1.00,0
F,3,4,2,M1,S0,M2,L1,D,0,1.00,0
F,2,6,2,M2,S5,M2,L2,D,1,0.09,0
F,5,6,2,M2,S3,M1,L3,D,1,1.00,0
F,1,8,3,M2,S3,M1,L4,D,0,1.00,0
P,4,4,2,M2,S3,M2,L1,B,0,1.00,0
F,10,0,2,C,S5,M1,L1,B,0,1.00,0
P,1,0,2,H1,S5,M2,L3,D,4,1.00,0
F,8,20,3,C,S1,M3,L1,B,0,2.00,0
F,15,0,2,M2,S3,M2,L3,D,1,1.00,0
F,10,10,2,M1,S1,M2,L4,D,0,2.00,0
F,11,2,2,M2,S0,M1,L4,D,2,1.00,0
F,14,4,2,H1,S2,M3,L3,D,0,1.50,0
F,3,14,2,H1,S2,M2,L1,B,0,1.00,0
F,8,6,2,M1,S0,M1,L3,B,0,1.00,0
F,11,6,2,H2,S1,M3,L3,D,1,0.66,0
F,10,10,3,M2,S1,M2,L4,D,0,1.00,0
