F1,F3,F4,F5,F8,F9,F10,F11,F12,F13,EXPOSURE,CLAIMNO
F,8,6,2,M2,S1,M1,L2,B,0,5.00,0
F,12,20,2,M1,S0,M0,L2,D,0,5.71,0
F,1,8,2,M2,S1,M2,L3,B,0,5.30,0
F,12,10,2,M1,S2,M2,L2,D,0,5.59,1
F,1,2,2,M1,S3,M1,L1,E,3,3.00,0
F,14,0,3,M1,S5,M2,L1,D,0,2.00,0
P,5,6,2,H1,S2,M3,L2,D,0,2.00,0
P,14,14,2,H1,S5,M2,L2,D,0,0.76,0
F,14,20,1,C,S2,M2,L1,B,0,1.00,0
F,1,8,3,M1,S1,M2,L4,B,0,1.00,0
P,1,2,3,M2,S5,M1,L3,D,0,1.73,0
F,1,2,2,H2,S3,M3,L3,D,0,1.00,0
P,9,6,2,M2,S5,M3,L2,D,0,2.00,0
F,1,10,2,M1,S2,M1,L1,D,1,8.53,0
F,14,0,2,M1,S5,M1,L2,D,0,1.83,0
F,3,14,2,M2,S2,M2,L1,B,0,11.17,0
F,4,2,2,M2,S1,M2,L2,D,3,5.86,0
F,2,2,3,H1,S2,M2,L2,D,0,1.00,0
F,10,0,2,H1,S1,M3,L2,D,1,1.00,0
F,1,8,2,M2,S2,M1,L2,D,2,1.00,0
F,10,8,2,M2,S0,M2,L3,D,0,1.00,0
F,11,6,2,M2,S0,M2,L2,B,1,0.08,0
F,12,14,2,M2,S0,M2,L1,B,0,2.74,0
P,8,20,2,M2,S5,M1,L2,D,0,1.00,0
F,4,2,2,M1,S3,M1,L1,B,2,2.00,0
F,9,2,2,M2,S1,M2,L2,B,0,0.67,0
F,4,4,2,M2,S1,M2,L3,D,3,1.54,0
F,1,8,2,M2,S2,M2,L1,D,2,4.00,0
F,13,8,2,M1,S5,M1,L2,D,0,3.00,0
P,3,2,2,M1,S2,M1,L3,D,0,2.01,0
F,2,20,2,M1,S1,M0,L2,D,0,5.80,0
F,13,2,2,M2,S2,M3,L3,D,1,1.00,0
F,12,14,2,M1,S5,M1,L2,B,0,0.94,0
P,11,2,2,M1,S1,M1,L3,B,0,1.31,0
F,4,10,3,M1,S2,M1,L1,D,0,4.00,0
P,9,10,2,H1,S5,M3,L2,D,1,1.00,0
F,11,10,2,M1,S2,M1,L2,B,1,3.00,0
F,2,2,2,M2,S1,M2,L3,D,5,1.00,0
F,5,0,2,M1,S3,M1,L1,B,1,7.00,0
P,14,10,3,M2,S5,M2,L1,D,0,1.00,0
F,5,0,2,M1,S5,M1,L3,B,0,0.78,0
F,2,10,2,M2,S2,M2,L3,D,1,2.00,0
F,5,20,3,C,S1,M0,L1,D,0,1.00,0
F,2,0,2,M1,S1,M2,L2,D,2,1.00,0
F,2,20,2,C,S2,M1,L3,B,0,1.00,0
F,6,8,3,M1,S1,M1,L1,D,0,1.00,0
F,2,0,2,M2,S1,M2,L1,B,4,3.00,0
P,7,8,2,M2,S5,M2,L2,D,1,1.00,0
F,2,8,2,M2,S1,M1,L1,D,1,1.00,0
F,1,0,2,M2,S2,M3,L1,D,2,8.58,0
F,3,4,2,H2,S1,M2,L3,D,1,2.53,0
P,1,6,2,M2,S2,M2,L4,D,0,0.68,0
P,4,0,2,M2,S5,M2,L1,D,0,1.28,0
P,6,2,2,H1,S1,M3,L3,D,1,0.57,0
F,4,10,2,H1,S1,M3,L3,D,0,3.09,0
F,5,20,2,H1,S1,M3,L1,B,0,1.00,0
F,8,10,2,M1,S0,M2,L2,B,0,2.44,0
F,6,0,2,H2,S3,M3,L3,D,5,0.10,0
F,5,0,2,H2,S3,M3,L2,D,3,1.00,0
P,2,8,3,H1,S5,M2,L1,D,0,1.00,0
F,6,6,2,M1,S0,M2,L2,D,0,0.70,0
F,1,2,2,M1,S3,M0,L2,D,0,3.94,0
F,2,0,2,M2,S3,M2,L1,D,3,1.00,0
F,10,4,2,H1,S2,M3,L2,D,1,0.11,0
F,4,10,2,M2,S1,M1,L4,D,0,2.32,1
F,13,2,2,H1,S2,M3,L1,D,1,1.61,0
F,15,20,2,C,S2,M1,L1,D,0,1.00,0
F,10,6,2,M2,S0,M3,L2,B,0,0.45,0
F,5,2,2,M2,S3,M2,L2,D,2,2.00,0
P,4,0,3,M2,S5,M1,L1,D,0,0.42,0
F,7,2,3,M1,S1,M1,L2,D,0,1.00,0
F,2,8,2,H1,S3,M3,L2,B,0,1.00,0
F,8,2,2,H1,S2,M3,L2,D,2,1.00,0
F,15,14,2,C,S1,M1,L4,B,0,1.00,1
F,8,0,2,M1,S5,M1,L1,D,0,1.00,0
F,9,2,2,H2,S2,M3,L1,D,2,1.00,0
P,4,10,2,M1,S5,M1,L3,B,0,1.00,0
F,5,2,2,H1,S2,M2,L1,D,5,1.00,0
P,12,10,2,M1,S2,M1,L2,B,0,1.00,0
F,2,14,3,M1,S2,M1,L3,B,0,1.00,0
F,5,14,2,C,S3,M1,L1,D,0,1.00,0
P,5,0,2,M1,S2,M1,L1,D,2,0.20,0
F,6,4,2,M2,S1,M1,L2,B,0,3.00,0
F,8,6,2,H1,S1,M3,L3,D,1,2.80,0
P,1,2,2,H1,S2,M2,L2,D,1,1.00,0
F,4,6,2,M1,S3,M2,L2,D,0,1.00,0
F,5,2,2,M1,S1,M2,L2,B,3,1.00,0
P,11,0,2,H1,S5,M2,L3,D,2,1.00,1
F,2,20,3,M1,S2,M0,L1,D,0,1.00,0
F,2,2,2,H2,S3,M3,L2,D,1,3.22,0
F,2,10,2,M2,S2,M1,L1,D,1,2.00,0
F,4,8,3,M1,S1,M2,L2,D,0,2.00,0
F,3,4,2,H2,S2,M2,L1,D,0,1.00,1
F,2,4,2,M2,S2,M2,L4,D,0,1.82,0
F,11,4,2,M2,S0,M2,L1,D,0,1.00,0
F,9,8,2,H1,S1,M2,L1,D,0,2.00,1
F,7,4,2,M1,S1,M1,L1,B,2,2.00,0
F,6,2,2,M1,S1,M1,L2,B,4,1.00,0
P,2,0,3,M2,S1,M1,L2,D,2,1.00,0
F,3,20,3,C,S2,M1,L2,D,0,1.00,0
F,6,4,3,M2,S2,M3,L2,D,0,1.00,0
F,12,14,2,H1,S1,M3,L3,D,1,1.00,0
F,11,4,2,H1,S0,M3,L1,D,0,0.49,0
P,13,0,2,M1,S1,M1,L2,D,2,0.24,0
F,4,2,2,M2,S3,M3,L2,B,1,1.00,0
F,9,4,2,M2,S1,M3,L2,D,1,1.00,0
P,14,4,2,H1,S0,M2,L3,D,1,1.00,0
F,13,4,2,M1,S1,M1,L2,D,1,3.00,0
F,6,0,2,M2,S1,M1,L2,D,4,1.00,0
F,1,0,3,M1,S1,M1,L2,B,2,1.00,0
F,8,8,2,M1,S2,M2,L1,B,0,1.00,0
F,5,4,2,H1,S5,M2,L2,D,0,1.00,0
P,1,0,2,M1,S1,M2,L2,B,3,1.00,0
F,6,0,2,M2,S2,M2,L3,B,0,1.00,0
F,14,20,2,M2,S3,M1,L2,D,0,0.37,1
F,7,20,2,M1,S0,M1,L1,B,0,1.00,0
P,9,10,1,M2,S5,M2,L2,D,0,1.00,0
F,1,0,2,M2,S0,M1,L1,B,2,0.61,0
F,1,4,2,M1,S2,M0,L4,B,0,1.00,0
P,2,2,2,M2,S3,M2,L1,B,3,1.00,0
P,6,2,2,H1,S5,M3,L3,B,5,1.00,0
F,4,0,2,H1,S1,M3,L1,D,4,0.18,0
F,8,10,2,M1,S3,M1,L3,D,0,1.00,0
F,2,10,3,M1,S1,M2,L3,B,0,1.00,0
P,1,10,1,H1,S5,M3,L1,B,0,1.00,0
F,15,4,2,M2,S2,M2,L2,D,0,1.00,0
P,1,0,2,H1,S5,M3,L1,E,2,1.00,0
F,1,4,2,M1,S3,M1,L2,B,0,1169.01,24
F,9,4,2,M1,S1,M1,L2,D,0,114.50,4
F,5,6,2,M1,S2,M1,L2,D,0,97.13,5
F,11,2,2,M1,S2,M1,L3,D,0,12.17,1
F,9,2,2,M1,S1,M1,L1,B,0,48.40,2
F,2,10,2,M1,S3,M1,L1,B,0,554.13,16
F,10,8,2,M2,S1,M2,L2,D,0,74.62,4
F,4,10,2,C,S2,M0,L2,B,0,54.60,0
P,1,0,2,M1,S2,M1,L1,D,0,34.57,0
F,1,14,2,M1,S2,M2,L1,B,0,306.05,2
F,3,2,2,M1,S2,M1,L3,B,0,8.98,0
F,2,6,2,M2,S2,M1,L2,D,0,79.04,2
P,14,8,2,M1,S5,M2,L2,D,0,1.18,0
F,1,8,3,M2,S1,M1,L2,D,0,115.65,0
F,3,10,2,H2,S2,M3,L3,B,0,0.84,0
F,1,2,2,C,S3,M1,L2,B,0,48.51,0
F,3,4,2,M2,S1,M1,L3,D,1,6.55,0
P,3,4,2,M2,S1,M2,L2,D,0,8.46,1
F,14,14,2,M1,S3,M1,L1,B,0,34.63,1
F,5,6,2,M1,S1,M1,L1,B,1,2.00,0
F,6,4,2,H1,S2,M3,L2,D,1,6.67,0
F,5,14,2,H1,S1,M2,L2,D,0,7.60,0
F,3,2,2,M1,S1,M2,L2,D,0,13.41,0
F,10,20,2,M1,S1,M1,L2,B,0,35.17,1
F,11,14,2,M2,S1,M3,L2,D,0,4.42,1
F,6,10,2,M1,S2,M2,L2,D,0,18.21,1
P,5,0,2,M2,S5,M2,L3,D,0,1.00,0
F,1,4,3,H1,S2,M3,L2,D,3,1.75,0
F,14,0,2,M1,S2,M1,L1,E,0,3.00,0
F,2,8,2,M1,S1,M1,L2,B,1,1.29,0
F,2,6,3,M2,S1,M1,L2,D,0,32.56,1
F,1,2,2,H2,S1,M3,L4,D,2,5.00,0
F,1,6,2,M1,S2,M3,L2,B,0,7.69,0
F,15,14,3,M1,S3,M1,L2,D,0,1.00,0
F,10,14,2,M1,S1,M0,L2,B,0,26.62,2
F,4,2,2,M2,S1,M1,L3,D,1,6.32,0
F,14,14,2,M1,S0,M2,L1,B,0,5.02,0
F,2,2,2,M2,S3,M2,L2,D,4,2.00,0
F,3,2,2,M1,S1,M1,L1,D,0,15.83,1
F,4,2,2,M1,S2,M2,L2,B,1,6.97,0
F,11,8,2,M1,S3,M1,L2,D,0,14.34,2
F,3,14,2,H1,S1,M2,L2,D,0,20.43,2
F,1,4,2,H1,S1,M2,L2,E,0,1.26,0
F,7,8,3,H1,S1,M3,L2,D,0,1.00,0
F,5,14,2,H1,S3,M2,L2,D,0,6.00,0
F,4,10,2,H1,S2,M2,L3,D,0,2.34,0
F,1,4,2,M2,S1,M2,L3,D,3,8.06,0
F,5,4,2,H2,S3,M3,L2,D,3,1.00,0
F,5,2,2,M2,S3,M2,L1,D,1,1.00,0
F,1,0,2,M2,S1,M2,L1,B,3,18.20,0
F,14,8,2,M1,S3,M1,L1,B,0,8.17,0
F,12,8,2,M2,S1,M3,L2,B,1,1.00,0
F,1,0,2,C,S3,M0,L2,B,0,3.89,0
F,1,2,3,M2,S2,M2,L4,D,0,3.56,0
P,2,14,2,H2,S5,M3,L2,B,0,1.00,0
F,2,10,2,M1,S3,M2,L2,D,0,12.14,0
F,4,0,2,H1,S1,M2,L3,D,0,0.62,0
F,10,14,2,H2,S0,M3,L2,B,1,0.41,0
F,14,8,2,C,S0,M2,L2,B,0,0.43,0
F,2,0,2,M2,S1,M3,L1,D,4,0.90,0
F,2,0,2,M2,S2,M2,L1,B,2,5.00,0
F,12,2,2,M2,S1,M2,L2,D,3,2.00,0
P,14,0,2,H1,S5,M2,L1,D,1,2.36,0
F,5,20,2,C,S2,M0,L3,B,0,2.00,1
F,9,4,2,M2,S2,M3,L2,D,0,1.00,0
F,3,6,3,M1,S2,M1,L2,D,0,2.99,0
F,7,2,2,M2,S2,M2,L3,D,2,1.29,0
F,10,2,2,C,S1,M0,L1,B,0,1.00,0
P,1,0,2,M1,S3,M1,L1,D,0,7.00,0
F,12,10,3,M2,S1,M1,L2,D,0,8.77,1
F,1,0,2,H1,S2,M1,L2,E,1,4.00,0
F,1,6,2,M1,S3,M1,L2,E,0,5.54,0
P,5,4,2,M1,S2,M1,L3,D,0,1.00,0
F,6,20,2,C,S2,M3,L1,B,0,3.75,0
F,1,4,2,M1,S1,M2,L2,D,1,6.00,0
F,6,10,2,M1,S2,M0,L1,D,0,6.00,0
P,7,8,2,M1,S5,M2,L2,B,0,1.00,0
F,2,10,2,C,S1,M1,L3,B,0,5.57,0
P,10,0,2,M2,S5,M1,L1,D,4,0.54,0
F,1,8,2,H1,S1,M2,L2,D,3,4.52,0
F,6,4,3,M2,S2,M1,L2,D,0,4.00,0
F,14,8,2,M2,S0,M2,L2,D,2,0.32,0
F,14,6,2,M1,S0,M2,L3,D,0,1.00,0
F,14,20,1,M1,S3,M2,L2,B,0,1.00,0
F,2,8,1,M1,S3,M1,L2,B,0,1.00,0
F,11,14,2,H1,S2,M3,L2,D,0,6.04,1
F,9,14,2,M2,S3,M2,L2,D,0,5.96,0
F,1,20,2,H1,S1,M2,L3,D,0,1.00,0
F,4,10,2,H1,S2,M2,L2,D,1,5.73,1
F,7,6,2,M2,S0,M1,L2,D,1,0.12,0
F,7,0,2,M2,S2,M2,L1,B,0,2.00,1
P,7,0,2,M2,S1,M2,L1,D,2,3.45,0
P,2,0,2,M1,S5,M1,L2,B,2,1.00,0
F,1,6,2,M2,S3,M2,L4,D,0,6.28,1
P,5,0,2,H2,S1,M3,L2,D,2,1.00,0
P,14,4,2,M1,S5,M1,L3,B,0,1.00,0
P,6,0,2,M1,S2,M1,L2,D,1,1.00,0
P,7,0,2,M2,S1,M2,L1,B,5,1.00,0
F,7,10,2,H2,S2,M3,L2,D,0,4.00,1
F,2,4,2,H1,S2,M2,L3,D,1,6.88,0
F,5,2,2,H2,S1,M3,L2,D,0,3.00,0
F,1,14,2,C,S2,M3,L1,B,0,2.00,0
F,1,4,2,H1,S2,M1,L2,D,1,4.12,0
P,14,0,2,H1,S5,M3,L1,B,3,0.40,0
F,2,2,2,M2,S1,M2,L1,D,4,2.00,0
F,10,0,2,H1,S0,M2,L2,D,2,2.00,0
F,4,6,2,M2,S3,M1,L2,D,1,1.32,0
F,3,6,2,C,S5,M0,L2,B,0,1.00,0
F,12,14,2,M2,S0,M1,L2,D,1,0.96,2
F,2,2,2,M2,S1,M1,L2,D,2,9.36,0
P,1,0,2,H1,S1,M2,L1,D,5,1.00,0
F,13,0,2,M1,S1,M2,L2,B,2,3.30,0
P,3,0,2,H2,S5,M3,L1,B,4,1.00,0
F,14,2,2,M2,S0,M1,L3,B,1,1.00,0
P,12,2,3,M2,S5,M1,L4,D,0,1.47,0
F,7,10,2,M2,S2,M2,L3,D,1,1.00,0
F,3,0,3,M2,S1,M2,L2,D,4,1.00,0
P,14,0,3,M2,S3,M1,L1,D,0,1.00,0
F,8,10,2,M1,S1,M2,L4,D,0,1.00,0
F,7,6,2,M2,S1,M3,L2,D,0,2.00,0
F,9,8,2,M2,S1,M3,L2,D,1,1.27,0
F,6,0,2,H1,S3,M3,L1,D,3,1.00,0
F,11,4,2,H1,S2,M2,L1,D,1,2.00,0
F,8,4,2,H1,S2,M2,L2,D,0,3.00,1
F,2,0,2,H2,S1,M3,L4,D,2,1.00,0
F,10,6,2,H1,S0,M3,L2,D,1,1.48,0
F,7,8,2,M2,S1,M3,L3,D,0,0.26,0
F,4,14,2,M2,S2,M1,L1,D,1,2.00,0
F,14,8,2,M2,S0,M2,L3,B,0,0.49,0
F,1,4,1,H1,S2,M3,L1,B,0,1.00,0
F,5,0,3,M2,S1,M1,L2,D,0,1.00,0
F,4,10,3,M1,S2,M1,L1,B,0,3.00,0
F,14,14,2,C,S1,M1,L2,D,1,0.08,0
F,2,20,2,M2,S1,M1,L4,D,0,1.00,0
F,12,2,2,M1,S1,M2,L1,D,0,1.00,0
P,1,8,2,H1,S2,M2,L2,D,1,1.00,0
F,1,8,3,M2,S3,M2,L3,D,0,2.00,0
F,10,6,2,M1,S2,M2,L1,B,0,2.00,0
P,3,4,2,M2,S5,M1,L2,D,1,2.24,0
F,10,20,3,C,S2,M0,L4,B,0,1.00,0
P,14,2,2,H2,S5,M3,L2,D,1,0.36,0
F,8,14,2,H1,S2,M3,L2,D,0,3.00,0
F,9,8,2,M2,S5,M1,L2,D,0,0.66,0
F,2,20,1,M2,S3,M2,L1,B,0,1.00,0
F,1,0,3,H1,S5,M2,L2,D,2,1.00,0
F,14,8,3,M2,S1,M2,L1,D,0,0.79,0
F,13,20,2,H1,S2,M1,L1,B,0,1.00,0
F,10,4,2,M1,S2,M2,L3,B,0,0.86,0
P,14,6,2,M1,S1,M0,L2,D,0,1.00,0
F,11,20,2,M1,S0,M0,L1,D,0,1.80,0
F,1,0,3,H2,S1,M3,L3,D,5,0.23,0
F,6,4,2,M2,S1,M3,L1,B,0,1.00,0
P,13,0,2,H1,S5,M3,L3,D,1,2.00,0
F,3,8,3,H1,S2,M2,L1,D,0,1.00,0
F,10,6,3,M1,S1,M1,L1,B,0,1.00,0
F,3,10,2,H1,S1,M2,L1,D,3,0.96,0
F,3,4,2,M1,S2,M2,L4,D,0,1.00,0
F,3,4,2,M1,S1,M2,L2,B,1,1.46,0
P,8,0,3,M2,S5,M2,L1,D,0,1.00,0
P,9,4,2,M1,S5,M2,L2,B,0,1.00,0
P,11,4,2,M2,S1,M2,L3,D,0,1.00,0
F,13,8,2,M2,S1,M2,L3,D,1,1.00,0
F,8,10,2,H2,S2,M3,L1,D,1,1.00,0
F,5,8,2,M2,S1,M3,L1,D,0,1.00,0
F,14,4,2,H2,S3,M3,L3,D,3,0.36,0
F,14,20,1,M1,S1,M1,L2,B,0,0.16,0
F,4,0,2,M2,S2,M1,L3,D,0,1.00,0
F,3,4,2,H1,S1,M1,L3,D,0,0.21,0
F,14,10,2,M2,S0,M1,L4,D,1,0.58,0
P,3,0,2,H2,S5,M3,L2,D,1,2.00,0
F,10,6,2,M1,S2,M1,L4,B,0,1.00,1
F,1,14,3,M2,S0,M2,L2,D,0,1.00,0
F,3,4,2,H1,S3,M3,L1,D,0,1.00,0
F,2,10,2,C,S2,M2,L2,D,0,1.00,0
F,1,8,2,M2,S1,M2,L2,B,2,0.23,0
F,5,8,2,H2,S2,M3,L2,B,0,1.00,0
F,2,4,3,M2,S1,M2,L1,D,0,1.00,0
P,1,4,2,H1,S2,M3,L2,D,2,1.00,0
F,6,10,1,H1,S1,M2,L1,B,0,1.00,0
F,3,4,2,H1,S2,M2,L2,D,3,0.32,0
F,7,0,2,M2,S2,M3,L2,B,0,1.00,0
F,13,4,2,H1,S0,M3,L2,D,1,1.00,0
F,13,2,2,H1,S2,M3,L2,D,2,1.00,0
P,4,0,2,M1,S2,M1,L1,B,4,0.13,0
F,1,14,2,M2,S2,M1,L1,D,0,257.71,4
F,4,20,2,M1,S3,M1,L1,D,0,7.42,0
F,1,4,2,M2,S1,M3,L2,B,0,3.74,0
F,1,8,3,M1,S1,M2,L2,B,0,28.76,0
F,3,8,2,M2,S3,M1,L1,B,0,6.00,0
F,3,8,2,M1,S2,M0,L1,B,0,4.00,0
F,2,4,2,M1,S3,M1,L2,B,0,97.40,2
F,1,6,2,C,S2,M0,L1,B,0,87.30,3
F,1,0,2,M2,S3,M2,L1,B,0,50.52,0
F,4,0,2,M1,S3,M1,L2,B,0,30.58,0
F,4,6,2,M1,S2,M1,L2,D,0,157.10,8
F,6,2,2,M2,S1,M2,L2,D,1,14.16,2
F,4,14,2,H1,S1,M3,L2,D,0,10.87,0
F,3,14,2,M1,S1,M0,L1,D,0,24.55,0
P,5,0,2,M1,S2,M1,L2,B,0,5.00,0
F,1,10,2,M2,S1,M3,L1,B,0,18.97,0
F,4,2,2,M2,S2,M2,L2,D,0,22.49,0
F,13,10,2,M1,S5,M1,L1,B,0,1.00,0
F,4,10,2,H1,S2,M3,L3,D,1,2.00,0
F,3,14,2,M2,S3,M2,L2,D,0,22.53,1
F,2,4,2,M1,S2,M2,L4,B,0,1.00,0
F,4,4,2,M1,S2,M1,L1,D,0,36.47,1
F,3,0,2,M1,S2,M1,L1,B,3,12.00,0
F,13,4,2,M1,S1,M1,L2,B,1,2.90,0
F,11,10,2,H1,S1,M3,L2,D,0,18.61,1
P,7,0,2,M1,S2,M1,L1,B,0,2.99,0
F,2,2,2,M1,S3,M2,L2,D,0,3.00,0
F,14,8,2,M2,S0,M2,L2,D,0,12.45,1
F,9,4,2,M1,S1,M0,L2,D,0,4.87,0
F,3,0,2,M1,S2,M2,L1,B,1,5.16,0
P,13,10,3,M1,S5,M2,L2,D,0,5.00,0
P,9,4,2,M1,S3,M1,L1,B,0,3.00,1
P,1,4,2,M2,S2,M1,L2,D,1,8.66,0
P,5,8,2,C,S5,M1,L1,B,0,1.00,0
F,11,14,2,M1,S1,M0,L2,B,0,35.69,1
F,2,10,2,M2,S1,M1,L3,D,0,10.00,1
F,9,6,1,M1,S2,M1,L1,E,0,1.00,0
F,1,4,2,H2,S2,M3,L1,D,2,4.09,0
F,1,20,1,C,S1,M1,L1,B,0,2.00,0
F,3,14,2,H1,S1,M3,L2,D,1,2.67,0
F,13,8,1,M1,S3,M0,L2,D,0,0.15,0
F,14,2,2,C,S1,M1,L2,B,0,0.08,0
F,6,14,2,M2,S2,M2,L2,B,0,13.83,1
P,1,6,2,H2,S3,M3,L1,D,3,1.00,0
F,6,14,2,M1,S1,M1,L4,B,0,6.00,0
P,13,14,2,M1,S5,M1,L4,D,0,2.36,1
F,2,14,2,H1,S1,M3,L3,D,0,1.00,0
F,1,2,2,H1,S1,M3,L2,B,1,5.00,0
F,14,6,2,H2,S0,M3,L1,B,2,1.11,0
P,14,0,2,H2,S5,M3,L1,B,3,1.00,0
F,15,8,2,M1,S2,M1,L1,D,0,1.00,0
F,4,14,2,M1,S2,M1,L1,B,1,0.24,0
P,2,2,2,M2,S2,M2,L2,B,0,1.00,0
P,1,4,2,M1,S5,M1,L2,D,1,1.00,0
F,6,8,2,M2,S2,M2,L2,B,0,4.73,0
F,11,10,3,M2,S1,M2,L3,D,0,3.00,1
F,11,20,3,M2,S1,M1,L1,D,0,0.44,0
F,2,8,2,M2,S3,M2,L2,B,0,11.19,0
P,14,2,2,H2,S1,M3,L2,D,4,1.00,0
F,14,0,2,M1,S0,M2,L2,B,0,3.34,1
F,1,0,2,H1,S2,M2,L2,E,4,4.67,0
F,2,8,2,H2,S2,M3,L4,D,0,1.00,0
F,3,14,2,H1,S3,M2,L2,D,0,4.00,0
F,11,6,2,H1,S2,M3,L3,D,1,1.07,0
F,9,2,2,M1,S1,M1,L1,B,1,4.13,0
P,3,0,2,M1,S5,M2,L1,D,0,2.43,0
P,13,8,2,C,S5,M1,L2,B,0,0.55,0
F,14,10,3,M2,S3,M2,L2,D,0,0.58,0
F,1,2,3,H1,S2,M3,L2,B,0,0.73,0
P,10,8,3,M2,S5,M1,L3,D,0,2.00,0
F,6,10,2,H1,S3,M3,L1,B,2,1.00,0
F,5,2,2,H1,S2,M2,L1,D,0,1.00,0
F,11,4,2,M1,S1,M2,L2,D,3,0.69,1
F,1,8,3,M1,S2,M2,L3,B,0,2.60,0
F,2,4,2,C,S2,M0,L1,B,0,5.00,0
P,10,4,2,M1,S5,M2,L2,B,0,2.00,0
P,3,0,2,H1,S5,M3,L2,B,2,1.00,0
F,14,10,2,M2,S2,M1,L2,D,1,0.86,0
F,4,2,2,M2,S1,M1,L2,D,3,1.00,0
F,1,10,2,M1,S1,M2,L2,B,1,5.60,0
F,1,8,2,M1,S2,M1,L1,D,1,3.00,0
F,6,2,2,H2,S1,M3,L3,D,1,0.92,0
F,9,6,2,M1,S0,M1,L1,D,0,3.27,0
F,6,10,2,M2,S1,M3,L2,D,1,0.29,0
P,14,6,2,M1,S2,M1,L1,D,0,1.00,0
P,6,2,2,M1,S5,M1,L4,D,0,1.00,0
F,2,10,2,M2,S3,M2,L1,D,1,2.00,0
F,1,2,2,M2,S2,M2,L1,B,2,5.35,0
P,13,4,3,M2,S5,M1,L2,D,0,3.00,0
F,3,10,2,H1,S1,M3,L1,D,0,4.38,0
P,1,4,2,M2,S2,M2,L3,D,1,2.00,0
F,5,4,2,H1,S1,M3,L2,D,0,5.44,0
F,3,0,2,M1,S2,M1,L1,B,4,3.00,0
P,3,0,2,M2,S5,M3,L1,D,1,1.00,0
F,1,4,2,H2,S2,M3,L2,B,0,2.54,0
F,7,4,2,M2,S1,M3,L1,D,1,1.00,0
F,8,2,2,M2,S2,M3,L2,D,0,1.00,0
F,4,6,2,M1,S1,M2,L1,B,0,7.93,0
F,6,0,2,H1,S2,M2,L1,D,3,2.00,0
F,4,6,2,M2,S1,M2,L2,D,2,2.83,0
F,14,2,2,H1,S5,M3,L4,D,3,0.79,0
F,9,0,2,M2,S1,M1,L2,D,1,1.00,1
F,6,0,2,M2,S1,M2,L2,B,2,1.00,0
F,14,2,2,M1,S1,M2,L3,B,0,0.13,0
F,7,10,2,C,S2,M0,L4,D,0,1.00,0
P,5,14,2,H1,S5,M2,L2,D,0,1.00,1
F,1,10,2,H1,S2,M3,L4,B,0,1.13,0
F,1,8,2,C,S1,M1,L2,D,0,1.20,0
F,7,10,2,H1,S2,M3,L3,B,0,1.00,0
P,1,8,2,H2,S5,M3,L2,B,0,2.00,0
F,10,10,2,H2,S3,M2,L2,D,1,1.00,0
P,4,0,2,H2,S5,M3,L1,D,3,1.00,0
P,3,10,2,H2,S5,M3,L1,D,1,1.00,0
F,14,4,2,M2,S0,M2,L2,D,0,3.00,0
F,3,0,2,M1,S1,M1,L3,B,1,0.68,0
F,4,6,2,H1,S2,M3,L4,D,0,1.08,0
F,6,2,2,M2,S1,M3,L2,B,2,1.00,0
P,4,10,3,M2,S5,M1,L3,D,0,0.70,0
F,9,4,2,C,S3,M0,L1,B,1,1.00,0
F,4,4,2,M1,S3,M1,L1,B,1,2.00,0
F,1,6,3,M1,S5,M1,L4,D,0,1.00,0
F,3,4,2,M2,S2,M1,L1,B,0,2.00,0
F,11,0,2,H2,S2,M3,L1,D,4,2.00,0
P,9,0,3,M2,S5,M2,L1,B,4,1.00,0
F,11,4,2,M2,S0,M1,L1,D,0,3.00,0
P,14,4,2,H2,S2,M2,L2,D,4,1.00,0
F,8,20,2,C,S2,M3,L1,B,0,1.00,0
P,3,6,2,H1,S5,M3,L3,D,0,2.00,0
F,15,14,2,M1,S2,M1,L3,B,0,1.00,0
F,13,10,2,H1,S3,M2,L3,D,0,2.00,0
F,1,6,2,M2,S3,M1,L2,D,3,2.00,0
P,11,14,2,M2,S5,M1,L1,D,0,1.00,0
F,14,0,2,M1,S2,M1,L1,E,4,0.08,0
F,11,6,2,M1,S1,M1,L4,D,0,1.00,0
P,10,4,2,H2,S1,M3,L2,D,3,1.00,0
F,3,2,2,M1,S2,M1,L1,B,2,2.00,0
F,1,8,2,M1,S1,M0,L4,D,0,1.00,0
F,8,0,3,H1,S5,M3,L3,D,4,1.00,0
P,7,14,2,M1,S5,M1,L2,D,0,1.00,0
F,4,4,2,H1,S3,M2,L3,D,1,1.24,0
F,12,8,2,M1,S1,M1,L2,D,1,0.36,0
P,4,4,2,M2,S1,M2,L2,D,2,1.00,0
F,11,0,1,H2,S2,M3,L1,B,0,1.00,0
F,12,2,2,M1,S2,M1,L1,E,0,1.00,0
F,1,0,2,M2,S5,M1,L2,D,0,1.00,0
P,1,8,2,H1,S1,M3,L2,B,0,0.38,0
F,1,14,2,H1,S3,M1,L4,D,0,1.00,0
F,9,6,3,H1,S1,M2,L2,D,0,1.00,0
P,12,4,2,M1,S5,M1,L1,B,3,0.64,0
F,3,8,3,M1,S1,M2,L3,B,0,1.00,0
F,4,2,2,M2,S3,M2,L1,D,2,1.00,0
F,11,2,2,M1,S2,M0,L1,B,0,1.00,0
F,11,8,2,H2,S1,M3,L2,D,2,1.47,0
P,1,0,2,M1,S2,M2,L2,D,3,1.00,0
F,1,6,2,M2,S2,M2,L3,B,1,1.00,0
