F1,F3,F4,F5,F8,F9,F10,F11,F12,F13,EXPOSURE
P,10,6,2,M1,S5,M1,L1,B,0,1.19
P,15,2,2,H1,S5,M2,L2,E,1,1.00
F,9,20,2,M2,S0,M2,L2,B,0,1.00
F,3,8,3,M2,S3,M2,L3,D,0,1.00
F,1,2,2,H1,S3,M3,L3,D,1,3.00
F,2,6,2,H2,S2,M3,L3,D,2,1.00
F,8,2,2,M2,S2,M2,L1,D,2,0.82
F,11,20,2,H2,S3,M3,L1,B,0,1.00
P,10,10,3,M1,S5,M1,L2,D,0,1.00
P,11,0,2,H2,S5,M3,L1,D,2,1.00
F,11,10,2,M2,S2,M2,L4,D,0,1.00
F,3,2,2,H2,S2,M3,L2,B,0,1.00
F,3,2,3,M2,S2,M1,L1,D,0,1.00
F,3,20,3,M1,S2,M1,L4,D,0,1.00
F,14,10,2,H1,S1,M3,L1,D,1,0.96
F,4,10,2,M1,S1,M1,L1,D,1,1.00
F,1,10,2,H1,S5,M2,L1,D,1,1.00
F,8,0,2,M1,S1,M3,L1,B,0,1.00
P,12,6,2,H2,S5,M3,L1,B,0,1.00
P,1,4,2,M2,S5,M2,L1,D,0,1.00
F,3,2,2,M1,S2,M2,L2,B,3,1.00
F,11,10,3,H1,S2,M3,L2,D,1,0.25
F,13,20,3,M2,S1,M0,L1,D,0,1.00
F,7,0,2,H2,S2,M3,L1,D,1,1.00
F,1,8,3,H2,S1,M2,L1,D,0,1.00
P,2,2,3,H2,S5,M3,L2,D,2,1.00
F,13,10,2,M2,S1,M1,L3,D,1,1.00
F,8,20,2,C,S1,M0,L2,B,0,15.77
F,14,6,2,M1,S0,M1,L2,D,0,29.13
F,3,20,2,C,S3,M0,L1,B,0,125.92
F,1,10,3,M2,S1,M2,L2,D,0,114.87
F,2,6,2,M1,S2,M1,L2,B,0,275.64
F,11,8,2,M2,S2,M1,L2,D,0,7.11
F,1,0,2,M1,S2,M1,L1,D,2,29.73
F,5,14,2,H1,S1,M3,L3,D,0,2.00
F,6,0,2,M2,S1,M2,L1,B,2,3.00
F,11,8,2,M2,S1,M1,L1,E,0,1.00
F,14,0,2,M2,S2,M2,L1,B,2,1.00
F,1,20,2,M1,S2,M1,L3,D,0,8.34
F,12,14,2,M1,S0,M1,L1,B,0,56.10
F,3,10,2,M1,S2,M0,L1,D,0,16.52
F,13,10,2,M1,S2,M0,L2,D,0,5.97
F,1,10,2,M1,S2,M1,L2,B,1,21.19
P,7,4,2,M1,S5,M1,L4,D,0,2.00
P,7,20,2,M1,S5,M1,L1,B,0,1.00
F,3,20,2,M1,S1,M1,L1,B,0,17.26
F,8,10,2,M1,S2,M0,L2,D,0,9.89
F,14,2,2,M1,S3,M1,L2,B,2,0.62
F,1,8,2,M2,S1,M3,L2,B,0,15.33
F,14,8,2,M2,S2,M2,L2,B,0,2.40
F,2,2,2,M2,S1,M2,L2,D,1,21.32
P,1,0,2,M2,S5,M1,L1,D,1,2.00
F,1,10,3,M1,S3,M2,L2,D,0,8.27
F,10,4,2,H1,S1,M2,L3,D,2,2.03
F,5,10,3,M2,S1,M1,L2,D,0,10.86
F,2,4,2,H2,S1,M3,L3,D,0,4.67
F,10,2,2,M2,S2,M2,L2,D,2,4.73
F,2,2,2,M2,S3,M1,L2,D,1,9.00
F,11,10,2,H1,S3,M3,L2,D,0,3.33
F,7,10,2,M1,S3,M0,L1,D,0,4.62
F,11,2,2,H1,S1,M3,L3,D,0,1.11
F,14,14,2,M1,S1,M1,L4,B,0,8.30
F,5,6,3,M1,S2,M2,L2,B,0,3.00
F,2,4,2,M2,S1,M3,L2,D,1,3.00
F,3,2,2,M1,S2,M1,L3,D,2,2.00
F,5,8,2,M2,S2,M2,L1,B,0,2.76
F,5,4,2,H1,S2,M2,L2,D,0,4.71
F,8,0,2,M1,S2,M1,L2,B,2,2.00
P,13,2,2,M2,S5,M1,L2,D,0,3.00
P,14,0,2,M1,S5,M2,L1,B,1,4.15
