F1,F3,F4,F5,F8,F9,F10,F11,F12,F13,EXPOSURE
F,4,8,3,M2,S3,M2,L2,D,0,2.00
F,4,20,2,M1,S1,M1,L2,D,0,8.70
F,13,20,2,C,S1,M1,L2,D,0,2.00
F,2,2,2,C,S1,M1,L1,B,0,1.32
F,13,20,1,C,S1,M0,L1,B,0,2.00
P,1,2,2,H2,S5,M3,L2,D,1,14.73
F,1,6,2,M2,S1,M3,L1,D,0,3.84
P,2,8,2,M2,S5,M2,L2,D,0,1.00
F,3,8,3,M1,S2,M2,L2,D,0,2.10
F,2,2,2,C,S2,M0,L1,B,0,1.00
F,4,10,2,H1,S3,M2,L2,D,1,3.00
F,11,4,2,M1,S1,M1,L3,D,1,3.27
F,14,0,2,M1,S0,M1,L1,B,2,2.00
F,7,4,2,M1,S5,M1,L2,D,0,3.43
F,14,14,1,M1,S3,M0,L1,B,0,1.00
F,6,14,2,M2,S1,M2,L1,D,0,7.66
F,3,2,2,M2,S1,M1,L1,D,0,4.71
F,3,8,2,M2,S3,M2,L2,B,0,4.00
P,14,4,2,M2,S5,M1,L2,D,0,7.00
F,14,14,3,C,S2,M2,L2,D,0,1.00
F,4,14,2,C,S2,M0,L3,B,0,4.00
F,9,14,2,M1,S3,M0,L2,B,0,1.98
F,1,0,3,M2,S1,M1,L2,D,2,3.00
F,14,14,2,C,S1,M0,L3,B,0,1.56
F,9,8,2,H1,S1,M3,L2,D,0,1.68
F,3,6,2,M2,S1,M2,L2,D,1,7.63
P,2,10,2,M1,S1,M1,L3,D,0,1.00
P,1,10,2,H2,S5,M3,L2,D,0,15.39
F,4,6,2,M1,S2,M0,L3,B,0,1.00
P,1,0,2,M2,S1,M2,L3,D,0,1.00
P,1,2,2,M2,S1,M2,L4,D,1,2.24
P,4,6,2,M1,S5,M1,L1,B,0,1.22
F,2,0,2,H1,S2,M2,L1,D,4,3.00
F,1,8,2,H1,S3,M2,L4,D,0,1.00
F,10,4,2,M2,S3,M2,L2,B,0,1.00
F,10,10,3,M1,S2,M1,L1,D,0,1.00
F,4,10,2,M1,S5,M1,L1,B,0,2.00
F,4,4,2,M2,S1,M1,L1,D,0,4.25
F,6,2,2,M2,S1,M2,L1,B,0,2.35
F,1,6,2,M1,S5,M1,L2,B,0,4.98
P,2,0,2,M2,S3,M2,L2,D,2,1.00
P,4,6,2,M1,S1,M2,L1,B,0,1.00
F,9,4,2,M2,S1,M2,L1,D,0,10.47
F,11,14,3,M1,S1,M2,L2,D,0,2.01
F,3,4,2,H1,S2,M3,L2,D,1,6.47
P,11,14,2,C,S5,M1,L2,B,0,1.00
P,1,8,2,H2,S5,M3,L2,D,0,6.47
F,11,0,2,M2,S1,M2,L1,D,0,1.71
F,11,0,2,M2,S3,M1,L1,B,2,1.00
F,9,10,2,M2,S1,M1,L2,B,1,1.00
F,8,6,2,H1,S1,M3,L2,D,0,1.00
P,9,14,3,M2,S5,M2,L2,D,0,1.00
F,1,10,3,M1,S1,M2,L3,B,0,2.51
P,1,6,3,H1,S5,M2,L1,D,0,2.00
F,1,6,2,M2,S3,M1,L1,D,1,8.00
F,10,2,2,H1,S2,M2,L3,D,0,0.73
F,4,20,2,M1,S1,M1,L3,D,0,3.00
F,1,2,2,H2,S2,M3,L1,B,2,2.00
F,8,20,1,H2,S3,M3,L1,B,0,1.00
F,12,4,2,H2,S1,M2,L2,D,0,0.80
P,1,4,2,H1,S2,M3,L1,D,1,1.00
F,5,20,2,M2,S2,M1,L2,D,0,3.00
P,2,4,3,H1,S5,M2,L3,D,0,0.98
P,9,6,2,M1,S1,M1,L1,B,0,2.00
P,3,14,3,M1,S5,M1,L1,D,0,1.00
F,8,6,3,M2,S2,M1,L2,D,0,2.00
F,10,2,2,M1,S1,M2,L1,B,0,0.28
F,3,2,2,H1,S2,M3,L3,D,0,3.24
P,3,8,2,M2,S2,M2,L2,B,0,0.29
F,8,14,2,M2,S2,M2,L2,D,2,1.00
P,1,4,2,H1,S5,M2,L3,D,0,1.00
F,8,2,2,H1,S1,M2,L2,D,1,1.96
F,1,6,2,M2,S1,M3,L1,B,2,1.00
F,8,10,2,H1,S3,M3,L2,B,0,2.00
F,8,0,2,M1,S1,M2,L2,D,1,1.00
F,11,2,2,M1,S2,M1,L1,D,1,1.00
F,14,20,3,C,S1,M1,L1,B,0,1.28
F,4,2,2,H1,S3,M3,L2,B,1,1.00
F,11,10,2,H1,S2,M3,L2,B,0,3.08
F,10,20,2,C,S1,M2,L1,B,0,8.00
F,8,0,2,H2,S2,M1,L2,E,0,1.00
F,4,14,2,M2,S1,M2,L3,B,0,1.00
F,2,0,2,H1,S2,M2,L2,D,4,0.14
F,2,2,2,H1,S2,M2,L2,D,2,3.57
F,3,8,2,H1,S2,M3,L3,B,0,1.00
F,2,20,2,M2,S3,M1,L2,B,0,1.00
F,11,6,2,M2,S5,M1,L3,D,0,0.56
F,2,8,2,H2,S2,M3,L1,D,0,0.08
F,3,14,1,M2,S2,M2,L1,B,0,0.50
P,1,0,2,H1,S2,M2,L2,D,2,1.00
F,5,20,1,C,S2,M1,L3,B,0,1.00
P,4,4,2,H2,S5,M3,L1,D,0,1.00
F,5,4,2,M2,S1,M2,L2,D,3,3.65
F,10,0,2,M1,S0,M1,L3,D,0,0.87
F,15,8,2,M2,S0,M2,L3,D,0,0.35
F,3,8,2,M1,S1,M1,L2,E,0,1.00
F,4,4,2,M2,S1,M2,L1,D,1,3.00
P,3,0,2,M2,S5,M2,L1,D,0,2.80
F,15,4,2,M1,S0,M1,L2,D,0,1.00
P,3,0,3,M2,S5,M2,L1,D,3,0.25
F,2,10,3,M1,S1,M1,L1,B,0,1.00
P,2,2,2,M2,S3,M2,L3,D,0,1.00
P,13,14,3,M2,S5,M1,L4,D,0,0.87
P,1,8,2,H1,S5,M2,L2,D,2,1.00
F,14,10,2,C,S0,M0,L3,B,0,0.71
P,4,14,2,M2,S5,M2,L4,D,0,1.00
P,12,6,2,M2,S1,M1,L3,D,0,1.00
F,4,8,2,H2,S2,M3,L3,D,2,1.00
F,10,2,2,C,S2,M1,L2,E,0,1.00
F,8,4,2,H2,S2,M3,L2,D,3,1.00
F,4,14,2,M1,S1,M2,L1,D,0,1.88
F,14,2,2,H2,S1,M3,L3,D,1,0.49
P,13,14,2,C,S1,M1,L2,B,0,0.32
F,3,0,2,H2,S1,M3,L1,D,0,2.00
P,12,6,3,H1,S5,M2,L2,D,0,1.00
F,14,6,2,M2,S2,M3,L2,B,0,0.14
F,10,0,2,M2,S0,M1,L2,D,1,1.00
F,12,6,2,H1,S0,M3,L2,D,1,1.30
P,9,4,2,M2,S5,M1,L2,D,0,2.00
F,1,20,2,C,S1,M2,L2,D,0,1.00
F,9,2,3,M2,S2,M2,L2,D,0,1.00
F,14,0,2,M1,S2,M2,L2,B,2,0.73
F,2,8,2,M2,S3,M1,L1,B,0,1.00
P,14,0,2,H1,S5,M2,L2,B,0,1.00
F,1,6,2,M2,S3,M2,L3,D,1,1.00
F,13,10,2,M1,S5,M1,L1,D,0,1.00
F,11,0,2,M2,S1,M2,L2,B,0,1.00
F,11,14,2,M1,S1,M1,L2,B,0,319.94
F,1,10,2,M1,S1,M1,L4,D,0,33.84
F,5,10,2,H1,S2,M2,L1,D,0,2.20
F,1,8,2,M2,S2,M2,L2,D,1,99.53
P,7,20,2,M2,S3,M1,L1,B,0,1.00
F,11,10,2,C,S1,M0,L1,B,0,30.60
F,7,14,2,C,S3,M0,L2,B,0,12.78
F,3,2,2,H2,S2,M3,L3,D,0,2.12
F,9,10,2,M2,S1,M2,L1,D,0,23.04
F,4,4,3,M1,S1,M2,L1,D,0,1.00
F,1,10,2,H2,S2,M3,L2,D,1,34.58
F,1,4,2,M2,S2,M1,L3,D,0,74.60
F,2,6,2,M1,S3,M1,L2,B,0,109.99
F,13,20,2,M1,S5,M1,L2,D,0,0.35
F,6,2,3,H1,S2,M2,L2,D,1,1.00
F,4,8,2,M2,S2,M2,L3,D,0,4.83
F,12,2,2,M2,S0,M1,L2,D,4,1.00
F,1,2,2,M1,S1,M0,L2,B,0,3.56
F,14,10,3,M2,S2,M2,L2,D,0,7.28
F,1,14,3,M2,S2,M2,L1,D,0,16.20
P,3,0,2,M1,S5,M2,L1,B,0,1.72
F,12,0,2,M1,S1,M1,L1,E,1,1.00
F,8,2,2,M2,S1,M2,L2,D,2,2.00
F,1,2,2,H2,S2,M3,L2,D,5,4.56
F,1,4,2,H1,S2,M2,L1,D,2,6.00
F,10,14,1,M1,S1,M0,L1,B,0,1.58
F,10,2,2,M2,S0,M1,L2,D,1,1.86
F,15,14,3,M1,S1,M1,L1,D,0,1.00
F,11,4,2,M2,S1,M1,L1,D,0,3.28
F,2,2,2,M1,S2,M1,L2,B,3,3.00
P,1,6,2,H1,S1,M2,L3,D,0,1.01
F,5,14,2,M1,S2,M2,L2,D,0,3.00
F,3,8,2,H1,S2,M2,L2,D,0,18.41
F,1,20,2,M2,S1,M2,L2,B,0,14.13
F,6,4,2,M2,S2,M2,L1,D,1,1.58
F,1,2,2,H2,S1,M3,L3,D,2,10.60
F,8,2,2,M2,S1,M1,L3,D,1,3.44
F,5,4,2,M2,S2,M2,L3,D,3,1.00
F,4,6,3,H1,S1,M2,L1,D,1,1.00
F,11,4,2,M1,S1,M1,L2,B,1,1.43
F,13,14,2,M1,S1,M2,L2,D,1,1.00
F,10,4,2,M1,S1,M1,L4,B,0,1.54
F,2,14,1,M1,S2,M0,L1,D,0,1.69
F,7,14,2,M1,S3,M1,L1,D,0,16.35
F,4,6,2,M1,S3,M2,L1,B,0,4.00
P,12,2,2,M1,S0,M1,L1,B,0,0.63
F,8,20,2,M2,S3,M1,L2,B,0,0.25
F,10,2,2,M1,S0,M1,L3,D,0,2.48
F,7,10,2,H1,S1,M3,L2,D,2,0.56
F,1,2,2,H1,S1,M2,L3,D,2,9.73
P,11,2,2,M2,S5,M2,L2,D,4,2.00
F,8,8,2,C,S1,M0,L1,B,0,2.00
P,4,0,3,M2,S5,M2,L1,D,0,3.00
F,8,2,2,M1,S0,M1,L1,B,0,1.00
P,8,2,3,M2,S5,M2,L2,D,0,0.95
P,8,2,2,M1,S2,M1,L1,B,0,2.00
F,5,4,3,H1,S1,M2,L1,D,0,1.00
P,4,6,2,M1,S1,M1,L2,D,0,3.30
P,2,6,2,M1,S2,M2,L2,B,0,2.00
F,1,4,2,H2,S2,M2,L3,D,2,1.00
F,10,10,2,H1,S2,M2,L4,D,0,0.42
F,11,2,2,M1,S3,M1,L2,B,2,1.00
F,4,8,2,M1,S2,M3,L2,B,0,2.00
F,4,4,2,M1,S1,M1,L2,D,3,1.00
F,14,20,2,M2,S0,M0,L1,D,0,0.24
P,1,6,2,H1,S1,M3,L2,D,0,1.41
P,13,4,2,M1,S5,M1,L3,D,1,0.10
P,9,10,2,M2,S1,M2,L4,D,0,1.00
F,2,6,2,H1,S1,M2,L1,D,0,3.20
F,5,10,2,M1,S3,M0,L2,B,0,2.87
F,4,2,2,M2,S3,M1,L2,D,1,2.00
F,9,10,2,M2,S1,M2,L3,D,0,7.33
F,12,8,2,M1,S0,M0,L2,B,0,1.00
P,9,10,3,M2,S5,M1,L1,D,0,1.00
F,1,0,2,M1,S2,M2,L3,D,0,9.97
F,11,10,2,M2,S2,M1,L2,B,1,1.93
F,3,4,2,M1,S5,M1,L1,D,0,0.11
F,13,10,3,M1,S1,M1,L4,D,0,2.00
F,4,2,3,M2,S2,M2,L3,D,4,1.47
F,11,14,2,H2,S1,M3,L2,B,1,0.22
F,8,2,2,M1,S2,M2,L1,D,0,1.00
F,14,8,2,M1,S1,M1,L2,B,1,0.81
F,12,10,2,H2,S0,M3,L2,D,2,1.00
P,2,4,2,M1,S5,M1,L2,D,2,1.00
F,5,20,2,M2,S2,M1,L1,B,0,2.00
F,7,4,2,M2,S3,M2,L2,B,0,1.00
F,1,0,2,M1,S1,M1,L3,D,3,1.47
P,6,4,2,M2,S5,M1,L3,D,0,2.00
P,9,10,2,C,S5,M0,L2,B,0,1.00
P,7,10,3,M2,S5,M1,L1,D,0,1.00
P,4,0,3,H2,S5,M3,L1,D,0,1.00
F,11,14,3,M1,S0,M1,L2,D,0,1.00
F,5,8,2,M1,S2,M0,L1,B,0,6.00
F,10,6,2,M1,S1,M1,L3,D,1,1.00
P,6,10,3,M2,S5,M2,L2,D,0,1.70
F,5,0,2,M1,S1,M1,L1,E,0,1.00
F,14,10,3,M1,S1,M2,L2,D,0,0.37
F,1,4,3,M1,S1,M1,L1,D,0,3.00
P,5,2,3,M1,S2,M2,L2,D,0,1.00
F,13,4,2,M2,S1,M1,L3,D,3,1.00
F,14,4,2,H2,S3,M3,L2,D,0,0.54
P,1,10,2,C,S1,M0,L2,B,0,1.00
P,1,6,2,M2,S2,M1,L1,B,2,0.29
F,10,20,2,C,S2,M2,L2,B,0,1.00
P,1,2,2,C,S2,M1,L1,B,0,1.00
F,14,10,2,M2,S2,M3,L2,D,2,0.90
P,2,6,2,M1,S5,M0,L1,B,0,1.00
F,7,20,2,M2,S3,M2,L2,B,0,1.00
F,13,4,2,H2,S2,M3,L2,D,2,1.00
F,10,14,3,M2,S2,M1,L3,D,0,1.00
F,11,4,2,M2,S2,M3,L3,D,4,1.00
P,8,10,2,M2,S5,M2,L3,D,0,0.33
F,6,2,2,M2,S3,M2,L2,D,3,1.00
F,7,6,2,H2,S1,M3,L3,D,0,1.00
P,3,0,2,M2,S5,M3,L2,D,1,1.00
P,7,0,3,M2,S5,M2,L1,D,0,1.00
F,12,6,3,M2,S1,M2,L2,D,0,1.00
P,2,0,2,H1,S1,M2,L1,D,1,0.54
F,7,8,2,M2,S2,M1,L2,D,1,0.38
P,7,4,2,M2,S3,M1,L2,D,1,1.00
F,1,8,2,H2,S2,M3,L4,D,2,1.00
P,10,4,3,M2,S5,M2,L4,D,0,0.11
F,4,2,2,M2,S3,M3,L1,D,1,1.00
F,9,4,2,H2,S2,M2,L2,D,1,1.00
F,10,2,2,M1,S3,M1,L2,D,0,1.00
P,9,4,2,M1,S1,M1,L3,B,0,1.00
F,9,20,2,M1,S2,M2,L2,B,0,1.00
F,1,10,2,M2,S2,M1,L1,D,0,225.35
F,2,4,2,M2,S1,M1,L2,D,0,57.00
P,13,0,2,M1,S5,M1,L2,B,0,10.86
F,1,4,2,M1,S3,M2,L1,B,0,61.36
F,4,10,2,M2,S2,M2,L1,D,0,32.49
F,2,14,2,M2,S3,M1,L2,D,0,15.18
F,5,20,2,C,S2,M0,L1,B,0,60.55
F,10,8,2,M2,S0,M2,L1,D,0,5.00
F,1,10,2,M2,S3,M2,L2,B,0,87.79
F,14,20,2,M1,S2,M0,L2,B,0,5.85
F,6,10,2,M1,S2,M0,L2,D,0,19.23
F,7,14,2,M1,S1,M0,L2,D,0,45.60
P,14,10,2,M1,S2,M1,L1,B,0,2.48
F,2,10,2,H1,S2,M3,L2,D,0,28.92
F,4,4,2,M2,S1,M2,L2,D,1,15.62
F,10,14,2,M1,S1,M0,L1,B,0,11.52
F,5,6,2,M2,S1,M2,L2,D,1,12.41
F,2,2,2,H2,S2,M3,L3,D,1,3.88
F,1,6,2,M1,S2,M0,L1,D,0,14.00
F,1,6,1,M1,S1,M0,L2,E,0,0.12
F,1,8,2,H2,S2,M2,L2,D,0,1.00
F,4,20,2,M1,S3,M0,L2,B,0,3.06
P,1,10,2,M1,S3,M1,L1,D,0,1.00
F,1,6,3,M1,S2,M2,L2,B,0,23.73
F,5,8,2,M2,S1,M2,L1,D,0,14.81
F,1,20,3,C,S2,M1,L2,B,0,1.00
F,4,0,2,H1,S2,M3,L2,B,4,1.00
P,1,0,2,M2,S2,M2,L2,B,0,7.00
F,11,14,2,H2,S1,M3,L2,B,0,1.55
F,4,8,2,H1,S1,M3,L2,D,0,10.20
F,1,4,2,H2,S3,M2,L2,D,0,1.00
F,13,20,2,C,S3,M1,L1,B,0,5.00
P,1,0,2,H2,S5,M3,L1,B,5,2.00
F,1,0,2,M2,S2,M1,L3,D,0,12.52
F,4,0,2,M2,S2,M1,L1,D,0,8.63
F,14,4,2,M2,S3,M2,L3,D,1,0.40
F,1,10,1,H1,S2,M3,L2,B,0,2.00
F,2,14,2,M2,S3,M1,L1,D,0,18.95
F,11,20,2,M2,S2,M1,L2,D,0,5.79
F,10,2,2,M1,S0,M1,L2,B,1,2.00
F,2,6,2,M2,S3,M3,L2,D,0,2.00
F,5,2,2,M1,S3,M2,L1,B,2,1.00
F,1,6,2,M1,S1,M2,L3,D,0,20.00
F,1,14,2,H2,S2,M2,L2,D,0,4.38
F,1,14,2,C,S2,M2,L1,B,0,6.97
F,3,2,2,H1,S2,M2,L3,D,1,4.83
F,12,10,3,M1,S1,M1,L2,D,0,4.62
F,4,6,3,M1,S1,M2,L2,B,0,1.00
F,1,0,2,M2,S3,M1,L1,D,0,20.09
F,12,4,2,H1,S2,M3,L2,B,0,1.00
P,2,2,2,M2,S2,M1,L3,D,1,1.00
F,7,2,2,H1,S1,M2,L3,D,4,1.00
F,1,2,3,H1,S2,M2,L4,D,0,0.60
F,6,0,2,M1,S3,M1,L1,B,1,3.59
F,1,6,2,M1,S2,M1,L1,E,0,4.00
F,2,8,3,M1,S1,M1,L3,D,0,1.00
F,3,14,2,M2,S1,M2,L2,D,1,5.82
F,4,6,2,M1,S3,M0,L1,D,0,2.00
F,12,6,2,M2,S1,M2,L1,D,0,4.00
F,5,20,2,H1,S3,M1,L1,D,0,1.79
F,1,2,2,H2,S1,M2,L2,D,2,1.00
F,1,14,2,H2,S1,M1,L1,D,1,2.00
F,8,8,2,M2,S2,M1,L4,D,0,1.00
F,5,4,2,M2,S3,M1,L3,D,0,1.62
P,7,0,2,M1,S1,M1,L1,B,1,3.00
P,14,8,3,M1,S5,M1,L2,D,0,3.36
F,2,14,2,M2,S2,M2,L4,D,0,3.24
F,3,2,2,M1,S1,M2,L1,B,3,2.58
F,7,8,2,C,S2,M0,L2,B,0,2.00
F,3,14,3,H1,S1,M1,L2,D,0,0.96
F,12,20,2,M1,S2,M3,L1,B,0,1.00
F,2,6,2,M1,S2,M2,L4,B,0,1.00
P,1,0,2,M2,S2,M1,L2,D,2,4.00
P,1,8,3,M1,S5,M2,L2,D,0,1.00
F,6,2,2,M2,S1,M3,L3,D,1,0.36
F,10,0,2,H1,S1,M3,L3,D,0,1.00
P,14,4,2,M1,S2,M1,L3,D,0,1.63
F,11,14,2,M2,S1,M2,L1,B,1,0.24
P,3,14,2,M2,S5,M2,L2,D,0,0.46
F,1,10,3,M2,S2,M1,L3,B,0,0.87
F,3,2,2,M1,S1,M2,L2,B,3,1.00
F,6,0,2,M1,S2,M1,L2,B,2,3.97
F,14,0,2,M2,S2,M1,L2,D,0,1.24
F,9,8,3,M1,S3,M1,L2,D,0,1.00
F,6,6,2,M1,S2,M1,L1,D,1,1.00
P,1,0,2,M2,S5,M1,L3,D,1,1.00
F,1,8,2,M2,S2,M2,L2,D,2,4.00
F,1,4,2,H2,S3,M2,L2,D,3,1.00
F,9,8,2,M2,S1,M1,L4,E,0,1.00
F,11,0,2,M1,S2,M1,L1,E,0,1.00
F,10,2,2,C,S1,M1,L1,B,0,2.00
P,3,0,2,M1,S1,M2,L3,D,0,1.00
F,14,20,3,H1,S3,M2,L1,B,0,1.00
F,3,0,3,M2,S2,M1,L2,D,3,0.69
P,4,6,2,M1,S2,M2,L1,D,0,1.00
F,14,20,2,C,S1,M1,L4,B,0,0.96
F,10,10,2,M1,S1,M1,L3,D,1,0.33
F,14,10,2,H2,S1,M3,L3,D,0,0.14
F,4,6,2,M1,S5,M1,L2,D,0,1.30
F,3,6,3,M1,S1,M1,L2,B,0,0.78
F,3,2,2,H2,S3,M2,L2,D,2,0.92
P,11,2,2,M2,S2,M2,L2,D,4,0.67
F,2,4,3,M1,S1,M2,L2,B,0,3.97
F,13,14,1,M2,S0,M3,L1,B,0,1.00
F,7,4,2,M2,S1,M2,L2,B,0,1.00
P,3,6,2,M1,S3,M2,L2,B,1,0.31
F,10,20,2,M1,S2,M2,L3,B,0,0.18
F,10,10,2,M2,S1,M1,L2,E,0,1.00
F,3,14,2,M1,S2,M0,L3,D,0,1.00
F,13,4,2,H1,S1,M2,L2,D,3,1.98
F,3,2,2,M2,S2,M2,L4,D,3,0.61
P,2,2,3,H1,S5,M2,L2,D,2,0.09
F,14,14,2,M1,S1,M2,L3,D,0,1.00
F,13,14,2,M2,S3,M1,L1,D,0,1.00
F,11,4,2,M2,S2,M2,L2,D,2,2.26
P,13,2,2,M1,S1,M1,L2,B,0,2.00
F,11,0,2,M2,S1,M2,L3,E,1,1.00
P,4,14,3,M1,S5,M1,L2,D,0,1.00
F,1,0,2,M1,S1,M3,L2,B,4,1.00
F,1,2,2,H1,S2,M3,L3,D,4,1.00
F,1,8,2,M1,S1,M3,L2,B,1,0.50
F,1,10,2,M2,S2,M1,L3,B,1,1.76
F,11,6,2,M2,S2,M2,L4,D,0,1.00
F,9,6,2,M2,S0,M1,L4,D,0,1.00
F,3,6,3,M1,S3,M2,L2,B,0,1.00
F,3,0,3,H1,S1,M2,L1,D,3,1.00
F,12,6,2,M1,S1,M3,L2,B,0,1.00
F,7,0,2,M2,S3,M1,L1,B,3,1.00
F,14,14,3,H1,S2,M2,L1,D,0,1.00
F,6,8,2,H2,S2,M3,L3,D,1,0.18
F,11,2,2,H2,S2,M3,L2,B,2,1.00
F,4,0,2,M2,S1,M2,L2,E,0,1.00
F,14,2,2,H2,S1,M3,L2,D,3,0.86
P,11,10,2,M2,S5,M2,L1,D,0,0.57
F,4,0,2,H1,S2,M3,L1,B,4,1.00
F,13,14,2,M2,S3,M2,L2,B,0,1.00
P,11,0,2,C,S2,M0,L1,B,0,1.00
F,7,6,2,M1,S0,M1,L1,B,0,1.00
P,3,2,3,H1,S5,M2,L1,D,0,1.00
F,14,0,2,M2,S2,M2,L1,B,0,1.00
F,3,0,2,M1,S2,M2,L3,B,0,1.00
F,8,6,2,H2,S1,M2,L2,D,2,1.00
F,5,10,2,H1,S1,M3,L3,D,1,1.00
F,5,8,3,M2,S1,M3,L2,B,0,1.00
F,2,0,2,M2,S2,M3,L2,B,5,1.00
P,9,8,2,M1,S3,M1,L4,D,0,1.00
F,1,10,2,M1,S1,M1,L1,B,0,980.70
F,1,14,3,M1,S3,M1,L1,D,0,28.25
F,1,20,2,M1,S3,M1,L2,B,0,282.64
F,11,10,2,M1,S0,M1,L4,B,0,1.00
F,1,10,2,M1,S1,M1,L4,B,0,31.77
F,4,4,2,M1,S1,M1,L2,B,0,82.89
F,1,8,2,M1,S5,M1,L3,B,0,2.00
F,8,6,2,M1,S3,M0,L1,B,0,2.00
F,1,8,2,M1,S0,M1,L2,D,0,1.00
F,1,0,2,M2,S2,M2,L2,E,0,7.76
F,1,4,2,M2,S1,M1,L2,B,0,5.00
F,12,10,2,M1,S3,M2,L2,B,0,1.00
P,9,4,2,C,S3,M0,L1,B,0,1.00
F,1,0,3,H1,S2,M3,L1,D,0,1.00
P,5,0,2,M1,S5,M2,L2,D,0,1.00
F,4,8,2,C,S3,M0,L2,B,0,4.26
F,6,6,2,M1,S1,M0,L4,D,0,1.00
F,2,20,2,M1,S2,M0,L1,B,0,9.13
F,6,4,2,C,S2,M1,L2,B,0,3.97
F,1,10,3,M2,S1,M1,L2,D,0,91.37
F,5,10,2,M2,S3,M1,L1,D,0,2.87
F,8,0,2,M1,S2,M1,L1,B,0,24.73
F,3,14,2,M2,S2,M1,L3,D,0,3.00
F,1,4,2,H1,S2,M2,L4,D,0,1.49
P,8,8,2,M2,S5,M2,L2,D,0,1.00
F,3,0,2,M1,S2,M1,L1,B,1,43.79
F,8,4,2,M2,S1,M1,L2,D,0,20.14
F,1,4,2,H1,S2,M3,L1,D,1,15.12
F,4,14,2,M1,S1,M0,L2,B,0,19.39
P,1,4,2,M2,S5,M2,L2,D,0,25.94
F,11,0,2,M1,S1,M1,L3,D,0,3.00
F,8,4,2,H1,S1,M3,L3,D,1,3.19
F,11,8,2,C,S0,M1,L2,B,0,3.00
F,6,8,2,M1,S1,M2,L2,D,0,15.13
F,5,2,2,M2,S2,M1,L2,D,0,6.53
F,9,14,2,M2,S1,M2,L1,D,1,4.00
F,14,4,2,H2,S1,M3,L2,B,1,0.18
F,7,14,2,M2,S1,M1,L2,D,0,21.11
P,2,6,2,H2,S5,M3,L2,D,0,1.15
F,6,10,2,M2,S1,M1,L2,D,1,7.45
F,1,2,2,M1,S1,M1,L3,B,1,7.80
F,10,20,2,C,S1,M1,L2,B,0,5.03
F,7,0,2,M2,S1,M2,L2,D,0,4.59
F,14,10,2,C,S2,M0,L1,B,0,14.13
F,13,0,2,M1,S5,M1,L2,D,0,2.00
F,11,8,2,C,S1,M0,L2,B,0,7.05
F,9,6,2,C,S1,M1,L2,B,0,4.24
F,10,14,2,H1,S3,M2,L1,D,0,1.00
F,3,6,2,M2,S5,M2,L2,D,0,3.00
F,1,2,2,H1,S2,M2,L2,E,1,2.45
F,5,10,2,M1,S1,M0,L1,B,0,8.61
F,1,14,2,M2,S1,M1,L1,B,0,6.79
F,6,10,2,M2,S2,M1,L1,D,0,12.78
F,4,0,2,M1,S1,M2,L1,D,1,1.00
F,9,2,2,M2,S1,M1,L1,D,1,1.00
F,1,0,3,M2,S1,M3,L1,D,1,1.00
F,9,20,2,H1,S2,M2,L1,B,0,1.00
F,3,4,2,M2,S1,M2,L1,D,1,4.95
F,12,6,2,M2,S0,M2,L2,D,0,5.91
F,1,20,3,M2,S1,M1,L1,D,0,4.00
P,4,8,2,H1,S5,M3,L4,D,0,1.00
F,7,10,2,H1,S1,M2,L3,D,1,0.29
F,1,8,3,H1,S2,M2,L2,B,0,2.54
F,12,10,2,M1,S1,M1,L3,D,0,8.25
F,14,8,2,M2,S0,M2,L3,D,0,1.81
F,2,2,3,M2,S3,M2,L2,D,0,3.00
F,3,8,2,H1,S1,M2,L3,D,0,4.31
F,9,6,2,H1,S3,M3,L2,D,0,1.00
F,11,8,2,C,S0,M0,L2,B,0,3.32
P,14,0,2,H1,S5,M3,L1,D,1,2.00
P,1,2,2,M2,S2,M2,L2,B,2,2.00
F,4,2,2,C,S3,M1,L2,B,0,3.00
F,8,10,2,M2,S1,M1,L3,D,0,6.17
F,11,20,2,M1,S2,M2,L1,B,0,4.28
F,4,4,2,M2,S1,M1,L3,D,1,4.70
F,2,4,2,M1,S1,M0,L2,D,0,3.00
F,10,0,3,H1,S5,M2,L3,D,1,1.00
F,11,10,2,M2,S1,M1,L2,B,1,1.58
F,2,2,2,M2,S3,M3,L2,D,0,1.00
F,11,10,3,M2,S2,M2,L4,D,0,1.00
F,2,0,2,M2,S1,M2,L2,B,4,1.00
F,3,6,2,M2,S3,M1,L2,D,1,3.00
F,5,14,2,C,S5,M0,L2,B,0,1.00
F,10,14,2,M2,S1,M2,L2,B,1,0.64
F,10,20,2,M1,S3,M0,L1,D,0,2.00
F,1,2,2,H1,S2,M2,L2,E,3,1.00
F,14,8,2,M2,S3,M1,L2,B,0,1.06
F,1,0,2,H2,S2,M2,L2,D,2,0.35
F,1,10,3,C,S2,M2,L1,D,0,1.00
F,4,20,2,M1,S3,M0,L2,D,0,4.00
P,14,8,2,M1,S1,M1,L4,B,0,1.00
F,14,4,2,C,S2,M3,L3,D,1,1.00
F,2,14,2,H1,S1,M2,L2,D,1,3.00
F,2,6,2,H2,S2,M3,L2,D,4,1.00
F,14,10,3,M2,S2,M2,L3,D,0,1.68
F,3,6,2,M2,S3,M2,L2,B,0,2.30
F,9,14,2,M2,S1,M1,L2,B,0,1.81
F,10,20,2,H2,S2,M2,L2,D,0,1.00
P,14,8,2,M1,S2,M1,L2,D,0,1.08
F,7,2,2,M2,S2,M1,L2,D,3,0.65
